Xkr4	Xkr4
Rp1	Rp1
Sox17	Sox17
Mrpl15	Mrpl15
Lypla1	Lypla1
Tcea1	Tcea1
Rgs20	Rgs20
Atp6v1h	Atp6v1h
Oprk1	Oprk1
Npbwr1	Npbwr1
Rb1cc1	Rb1cc1
Fam150a	Fam150a
St18	St18
Pcmtd1	Pcmtd1
Sntg1	Sntg1
Rrs1	Rrs1
Adhfe1	Adhfe1
2610203C22Rik	2610203C22Rik
3110035E14Rik	3110035E14Rik
Mybl1	Mybl1
Vcpip1	Vcpip1
1700034P13Rik	1700034P13Rik
Sgk3	Sgk3
6030422M02Rik	6030422M02Rik
Snhg6	Snhg6
Snord87	Snord87
Ppp1r42	Ppp1r42
Cops5	Cops5
Cspp1	Cspp1
Arfgef1	Arfgef1
Cpa6	Cpa6
Mir467e	Mir467e
Prex2	Prex2
A830018L16Rik	A830018L16Rik
4932411L15	4932411L15
Sulf1	Sulf1
Slco5a1	Slco5a1
Prdm14	Prdm14
Ncoa2	Ncoa2
Tram1	Tram1
Lactb2	Lactb2
Xkr9	Xkr9
Gm5523	Gm5523
Eya1	Eya1
Msc	Msc
Trpa1	Trpa1
Kcnb2	Kcnb2
Terf1	Terf1
Gm106	Gm106
4930444P10Rik	4930444P10Rik
Rpl7	Rpl7
Rdh10	Rdh10
Stau2	Stau2
Ube2w	Ube2w
Tceb1	Tceb1
D030040B21Rik	D030040B21Rik
Tmem70	Tmem70
Ly96	Ly96
Jph1	Jph1
Gdap1	Gdap1
Pi15	Pi15
Crispld1	Crispld1
Crisp4	Crisp4
Defb44-ps	Defb44-ps
Defb18	Defb18
Defb41	Defb41
Gm15386	Gm15386
Tfap2d	Tfap2d
Tfap2b	Tfap2b
Pkhd1	Pkhd1
4930486I03Rik	4930486I03Rik
Mir206	Mir206
Mir133b	Mir133b
Il17a	Il17a
Il17f	Il17f
Mcm3	Mcm3
6720483E21Rik	6720483E21Rik
Paqr8	Paqr8
Efhc1	Efhc1
Tram2	Tram2
Tmem14a	Tmem14a
Gsta3	Gsta3
Gm4956	Gm4956
Khdc1a	Khdc1a
Khdc1c	Khdc1c
Khdc1b	Khdc1b
Kcnq5	Kcnq5
Rims1	Rims1
4933415F23Rik	4933415F23Rik
Mir30a	Mir30a
Mir30c-2	Mir30c-2
Ogfrl1	Ogfrl1
B3gat2	B3gat2
Smap1	Smap1
1110058L19Rik	1110058L19Rik
Fam135a	Fam135a
Col9a1	Col9a1
Col19a1	Col19a1
Lmbrd1	Lmbrd1
Bai3	Bai3
Gm20172	Gm20172
4931408C20Rik	4931408C20Rik
Gm597	Gm597
Phf3	Phf3
Ptp4a1	Ptp4a1
Gm13363	Gm13363
4931428L18Rik	4931428L18Rik
